x_ft,y_ft,lux
57.520434,7.855051,0.242362
57.520434,9.510101,0.252649
58.531869,9.510101,0.258682
59.543303,9.510101,0.264860
57.520434,11.165152,0.263399
58.531869,11.165152,0.269994
59.543303,11.165152,0.276764
60.554737,11.165152,0.283708
61.566172,11.165152,0.290824
57.520434,12.820202,0.274611
58.531869,12.820202,0.281821
59.543303,12.820202,0.289240
60.554737,12.820202,0.296871
61.566172,12.820202,0.304711
62.577606,12.820202,0.312759
63.589040,12.820202,0.321012
57.520434,14.475253,0.286279
58.531869,14.475253,0.294158
59.543303,14.475253,0.302288
60.554737,14.475253,0.310673
61.566172,14.475253,0.319313
62.577606,14.475253,0.328209
63.589040,14.475253,0.337359
64.600475,14.475253,0.346760
65.611909,14.475253,0.356406
57.520434,16.130303,0.298389
58.531869,16.130303,0.306995
59.543303,16.130303,0.315901
60.554737,16.130303,0.325112
61.566172,16.130303,0.334633
62.577606,16.130303,0.344466
63.589040,16.130303,0.354613
64.600475,16.130303,0.365072
65.611909,16.130303,0.375841
66.623343,16.130303,0.386915
67.634778,16.130303,0.398283
57.520434,17.785354,0.310917
58.531869,17.785354,0.320310
59.543303,17.785354,0.330059
60.554737,17.785354,0.340174
61.566172,17.785354,0.350661
62.577606,17.785354,0.361527
63.589040,17.785354,0.372778
64.600475,17.785354,0.384417
65.611909,17.785354,0.396443
66.623343,17.785354,0.408855
67.634778,17.785354,0.421648
68.646212,17.785354,0.434812
57.520434,19.440404,0.323830
58.531869,19.440404,0.334072
59.543303,19.440404,0.344734
60.554737,19.440404,0.355830
61.566172,19.440404,0.367373
62.577606,19.440404,0.379375
63.589040,19.440404,0.391845
64.600475,19.440404,0.404792
65.611909,19.440404,0.418222
66.623343,19.440404,0.432138
67.634778,19.440404,0.446540
68.646212,19.440404,0.461422
69.657646,19.440404,0.476774
70.669081,19.440404,0.492582
57.520434,21.095455,0.337082
58.531869,21.095455,0.348234
59.543303,21.095455,0.359880
60.554737,21.095455,0.372039
61.566172,21.095455,0.384730
62.577606,21.095455,0.397973
63.589040,21.095455,0.411783
64.600475,21.095455,0.426178
65.611909,21.095455,0.441168
66.623343,21.095455,0.456767
67.634778,21.095455,0.472979
68.646212,21.095455,0.489808
69.657646,21.095455,0.507250
70.669081,21.095455,0.525296
71.680515,21.095455,0.543928
72.691949,21.095455,0.563121
57.520434,22.750505,0.350615
58.531869,22.750505,0.362736
59.543303,22.750505,0.375434
60.554737,22.750505,0.388737
61.566172,22.750505,0.402670
62.577606,22.750505,0.417262
63.589040,22.750505,0.432538
64.600475,22.750505,0.448523
65.611909,22.750505,0.465241
66.623343,22.750505,0.482713
67.634778,22.750505,0.500955
68.646212,22.750505,0.519982
69.657646,22.750505,0.539800
70.669081,22.750505,0.560410
71.680515,22.750505,0.581805
72.691949,22.750505,0.603964
73.703384,22.750505,0.626859
74.714818,22.750505,0.650443
57.520434,24.405556,0.364352
58.531869,24.405556,0.377499
59.543303,24.405556,0.391316
60.554737,24.405556,0.405840
61.566172,24.405556,0.421107
62.577606,24.405556,0.437156
63.589040,24.405556,0.454023
64.600475,24.405556,0.471747
65.611909,24.405556,0.490365
66.623343,24.405556,0.509910
67.634778,24.405556,0.530416
68.646212,24.405556,0.551911
69.657646,24.405556,0.574419
70.669081,24.405556,0.597954
71.680515,24.405556,0.622525
72.691949,24.405556,0.648127
73.703384,24.405556,0.674742
74.714818,24.405556,0.702335
75.726253,24.405556,0.730849
76.737687,24.405556,0.760207
57.520434,26.060606,0.378205
58.531869,26.060606,0.392427
59.543303,26.060606,0.407423
60.554737,26.060606,0.423240
61.566172,26.060606,0.439927
62.577606,26.060606,0.457536
63.589040,26.060606,0.476118
64.600475,26.060606,0.495727
65.611909,26.060606,0.516417
66.623343,26.060606,0.538241
67.634778,26.060606,0.561253
68.646212,26.060606,0.585502
69.657646,26.060606,0.611033
70.669081,26.060606,0.637886
71.680515,26.060606,0.666092
72.691949,26.060606,0.695669
73.703384,26.060606,0.726623
74.714818,26.060606,0.758937
75.726253,26.060606,0.792573
76.737687,26.060606,0.827463
77.749121,26.060606,0.863506
78.760556,26.060606,0.900558
57.520434,27.715657,0.392064
58.531869,27.715657,0.407402
59.543303,27.715657,0.423628
60.554737,27.715657,0.440802
61.566172,27.715657,0.458986
62.577606,27.715657,0.478249
